species,plot,richness,treatment,plantnumber,damage,type,stage,combo
Rudhi,20,12,I,4,0.75,ins,E,IinsE
Rudhi,20,12,I,6,9.8,ins,E,IinsE
Agafo,21,10,I,1,2,ins,E,IinsE
Agafo,21,10,I,2,0.2,ins,E,IinsE
Agafo,21,10,I,3,0.6,ins,E,IinsE
Agafo,21,10,I,4,6.2,ins,E,IinsE
Andge,22,8,I,1,0,ins,E,IinsE
Andge,22,8,I,2,0,ins,E,IinsE
Andge,22,8,I,3,0,ins,E,IinsE
Andge,22,8,I,4,0,ins,E,IinsE
Andge,22,8,I,5,2.4,ins,E,IinsE
Andge,22,8,I,6,0,ins,E,IinsE
Bougr,23,10,I,1,0,ins,E,IinsE
Bougr,23,10,I,2,0,ins,E,IinsE
Bougr,23,10,I,3,0,ins,E,IinsE
Bougr,23,10,I,4,4,ins,E,IinsE
Bougr,23,10,I,5,0.2,ins,E,IinsE
Bougr,23,10,I,6,0,ins,E,IinsE
Boucu,24,15,I,1,0,ins,E,IinsE
Boucu,24,15,I,2,0,ins,E,IinsE
Boucu,24,15,I,3,0,ins,E,IinsE
Boucu,24,15,I,4,0,ins,E,IinsE
Boucu,24,15,I,5,0.4,ins,E,IinsE
Liaas,25,14,C,4,55,ins,E,CinsE
Sornu,26,12,C,1,0.6,ins,E,CinsE
Sornu,26,12,C,2,2.333333333,ins,E,CinsE
Sornu,26,12,C,3,1.2,ins,E,CinsE
Sornu,26,12,C,4,3,ins,E,CinsE
Panvi,27,12,IF,1,0,ins,E,IFinsE
Panvi,27,12,IF,2,0,ins,E,IFinsE
Panvi,27,12,IF,3,0.2,ins,E,IFinsE
Panvi,27,12,IF,4,0,ins,E,IFinsE
Panvi,27,12,IF,5,0.8,ins,E,IFinsE
Panvi,27,12,IF,6,0,ins,E,IFinsE
Boucu,28,12,I,1,0.6,ins,E,IinsE
Boucu,28,12,I,2,7.5,ins,E,IinsE
Boucu,28,12,I,3,0,ins,E,IinsE
Boucu,28,12,I,4,0.4,ins,E,IinsE
Boucu,28,12,I,5,0,ins,E,IinsE
Asctu,29,9,C,1,0,ins,E,CinsE
Asctu,29,9,C,2,0.8,ins,E,CinsE
Asctu,29,9,C,3,0.2,ins,E,CinsE
Asctu,29,9,C,6,12,ins,E,CinsE
Monfi,30,7,IF,2,15.6,ins,E,IFinsE
Astaz,31,11,IF,1,8.333333333,ins,E,IFinsE
Astaz,31,11,IF,2,8.6,ins,E,IFinsE
Astaz,31,11,IF,3,6.4,ins,E,IFinsE
Astaz,31,11,IF,4,1.666666667,ins,E,IFinsE
Asctu,32,10,IF,1,0,ins,E,IFinsE
Asctu,32,10,IF,2,1.2,ins,E,IFinsE
Asctu,32,10,IF,3,0.8,ins,E,IFinsE
Asctu,32,10,IF,4,0,ins,E,IFinsE
Asctu,32,10,IF,5,15.2,ins,E,IFinsE
Asctu,32,10,IF,6,0.8,ins,E,IFinsE
Ascsy,33,12,C,3,0.333333333,ins,E,CinsE
Asctu,34,11,IF,2,0.8,ins,E,IFinsE
Asctu,34,11,IF,3,0,ins,E,IFinsE
Asctu,34,11,IF,4,5.5,ins,E,IFinsE
Asctu,34,11,IF,5,1.6,ins,E,IFinsE
Schsc,35,12,I,1,1,ins,E,IinsE
Schsc,35,12,I,2,1,ins,E,IinsE
Schsc,35,12,I,3,2.8,ins,E,IinsE
Schsc,35,12,I,4,0,ins,E,IinsE
Schsc,35,12,I,6,1,ins,E,IinsE
Schsc,36,15,IF,1,0,ins,E,IFinsE
Schsc,36,15,IF,2,0,ins,E,IFinsE
Schsc,36,15,IF,3,0,ins,E,IFinsE
Schsc,36,15,IF,4,0.4,ins,E,IFinsE
Schsc,36,15,IF,5,0,ins,E,IFinsE
Schsc,36,15,IF,6,0,ins,E,IFinsE
Bougr,37,11,IF,1,0.2,ins,E,IFinsE
Bougr,37,11,IF,2,0,ins,E,IFinsE
Bougr,37,11,IF,3,0,ins,E,IFinsE
Bougr,37,11,IF,4,0,ins,E,IFinsE
Bougr,37,11,IF,5,0,ins,E,IFinsE
Bougr,37,11,IF,6,0.4,ins,E,IFinsE
Sornu,38,10,IF,1,4,ins,E,IFinsE
Sornu,38,10,IF,2,0.2,ins,E,IFinsE
Sornu,38,10,IF,3,1.25,ins,E,IFinsE
Sornu,40,10,C,1,1,ins,E,CinsE
Sornu,40,10,C,2,0,ins,E,CinsE
Sornu,40,10,C,3,0.6,ins,E,CinsE
Sornu,40,10,C,4,0,ins,E,CinsE
Monfi,41,11,C,3,9.4,ins,E,CinsE
Ascsy,42,12,IF,1,0.6,ins,E,IFinsE
Ascsy,42,12,IF,2,0,ins,E,IFinsE
Ascsy,42,12,IF,4,4.4,ins,E,IFinsE
Schsc,43,13,IF,1,0.6,ins,E,IFinsE
Schsc,43,13,IF,2,0,ins,E,IFinsE
Schsc,43,13,IF,3,0,ins,E,IFinsE
Schsc,43,13,IF,4,0,ins,E,IFinsE
Schsc,43,13,IF,5,0.6,ins,E,IFinsE
Schsc,43,13,IF,6,0.2,ins,E,IFinsE
Boucu,44,14,IF,1,0.25,ins,E,IFinsE
Boucu,44,14,IF,2,0,ins,E,IFinsE
Boucu,44,14,IF,3,0.4,ins,E,IFinsE
Boucu,44,14,IF,4,0,ins,E,IFinsE
Boucu,44,14,IF,5,0,ins,E,IFinsE
Andge,45,10,C,1,0.5,ins,E,CinsE
Andge,45,10,C,2,4.8,ins,E,CinsE
Andge,45,10,C,3,5.4,ins,E,CinsE
Andge,45,10,C,4,3.2,ins,E,CinsE
Andge,45,10,C,5,1.2,ins,E,CinsE
Andge,45,10,C,6,2,ins,E,CinsE
Liaas,47,7,C,1,6.333333333,ins,E,CinsE
Astaz,48,12,I,1,10.6,ins,E,IinsE
Astaz,48,12,I,2,1.8,ins,E,IinsE
Astaz,48,12,I,4,7.6,ins,E,IinsE
Astaz,48,12,I,5,15.2,ins,E,IinsE
Astaz,48,12,I,6,19.2,ins,E,IinsE
Muhra,49,14,IF,1,0.4,ins,E,IFinsE
Muhra,49,14,IF,2,0,ins,E,IFinsE
Muhra,49,14,IF,3,0,ins,E,IFinsE
Muhra,49,14,IF,4,0,ins,E,IFinsE
Muhra,49,14,IF,5,0,ins,E,IFinsE
Muhra,49,14,IF,6,0,ins,E,IFinsE
Schsc,50,12,I,1,0,ins,E,IinsE
Schsc,50,12,I,2,0,ins,E,IinsE
Schsc,50,12,I,4,2,ins,E,IinsE
Schsc,50,12,I,6,0.2,ins,E,IinsE
Schsc,51,13,IF,1,0,ins,E,IFinsE
Schsc,51,13,IF,2,0,ins,E,IFinsE
Schsc,51,13,IF,3,0.2,ins,E,IFinsE
Schsc,51,13,IF,4,0,ins,E,IFinsE
Schsc,51,13,IF,5,0.4,ins,E,IFinsE
Schsc,51,13,IF,6,0.8,ins,E,IFinsE
Spohe,52,11,I,1,12.5,ins,E,IinsE
Monfi,53,14,I,2,0,ins,E,IinsE
Rudhi,54,11,I,1,7.6,ins,E,IinsE
Rudhi,54,11,I,2,3,ins,E,IinsE
Rudhi,54,11,I,3,13.6,ins,E,IinsE
Rudhi,54,11,I,4,4,ins,E,IinsE
Rudhi,54,11,I,5,9.5,ins,E,IinsE
Rudhi,54,11,I,6,6.2,ins,E,IinsE
Andge,55,12,C,1,2.4,ins,E,CinsE
Andge,55,12,C,2,1.2,ins,E,CinsE
Andge,55,12,C,3,1,ins,E,CinsE
Andge,55,12,C,4,12.6,ins,E,CinsE
Andge,55,12,C,5,0.5,ins,E,CinsE
Andge,55,12,C,6,0.8,ins,E,CinsE
Boucu,56,13,C,1,0.4,ins,E,CinsE
Boucu,56,13,C,2,20,ins,E,CinsE
Boucu,56,13,C,3,24.2,ins,E,CinsE
Boucu,56,13,C,4,9,ins,E,CinsE
Boucu,56,13,C,5,16.6,ins,E,CinsE
Monfi,57,12,I,1,0.4,ins,E,IinsE
Achmi,58,13,C,5,51.2,ins,E,CinsE
Achmi,58,13,C,6,69,ins,E,CinsE
Sornu,59,12,C,1,8.6,ins,E,CinsE
Sornu,59,12,C,2,1.2,ins,E,CinsE
Sornu,59,12,C,3,2.8,ins,E,CinsE
Sornu,59,12,C,4,0,ins,E,CinsE
Liaas,61,11,IF,1,3,ins,E,IFinsE
Muhra,62,12,C,1,0,ins,E,CinsE
Muhra,62,12,C,3,0,ins,E,CinsE
Muhra,62,12,C,4,4.8,ins,E,CinsE
Muhra,63,8,IF,1,0.8,ins,E,IFinsE
Muhra,63,8,IF,2,0,ins,E,IFinsE
Muhra,63,8,IF,3,0,ins,E,IFinsE
Muhra,63,8,IF,4,0.2,ins,E,IFinsE
Muhra,63,8,IF,5,0,ins,E,IFinsE
Muhra,63,8,IF,6,0,ins,E,IFinsE
Asctu,64,11,IF,1,0.6,ins,E,IFinsE
Asctu,64,11,IF,2,0.4,ins,E,IFinsE
Asctu,64,11,IF,3,0.6,ins,E,IFinsE
Asctu,64,11,IF,4,0,ins,E,IFinsE
Asctu,64,11,IF,5,0.2,ins,E,IFinsE
Asctu,64,11,IF,6,1,ins,E,IFinsE
Asctu,65,9,I,1,0,ins,E,IinsE
Asctu,65,9,I,2,0.6,ins,E,IinsE
Asctu,65,9,I,3,2,ins,E,IinsE
Asctu,65,9,I,5,0.4,ins,E,IinsE
Asctu,65,9,I,6,0,ins,E,IinsE
Panvi,66,10,C,1,0,ins,E,CinsE
Panvi,66,10,C,2,0.2,ins,E,CinsE
Panvi,66,10,C,3,2.2,ins,E,CinsE
Panvi,66,10,C,4,0.5,ins,E,CinsE
Panvi,66,10,C,5,0,ins,E,CinsE
Panvi,66,10,C,6,9,ins,E,CinsE
Astaz,67,10,I,1,4.4,ins,E,IinsE
Astaz,67,10,I,2,4.8,ins,E,IinsE
Astaz,67,10,I,4,5.8,ins,E,IinsE
Astaz,67,10,I,5,11,ins,E,IinsE
Astaz,67,10,I,6,8.8,ins,E,IinsE
Astaz,68,10,C,1,20.8,ins,E,CinsE
Astaz,68,10,C,2,32.2,ins,E,CinsE
Astaz,68,10,C,3,18.4,ins,E,CinsE
Astaz,68,10,C,4,46.6,ins,E,CinsE
Astaz,68,10,C,5,4.2,ins,E,CinsE
Astaz,68,10,C,6,30,ins,E,CinsE
Astaz,69,12,IF,1,7,ins,E,IFinsE
Astaz,69,12,IF,2,5.25,ins,E,IFinsE
Astaz,69,12,IF,3,9.2,ins,E,IFinsE
Astaz,69,12,IF,4,24.6,ins,E,IFinsE
Astaz,69,12,IF,6,3.2,ins,E,IFinsE
Achmi,70,12,C,1,97,ins,E,CinsE
Achmi,70,12,C,3,12,ins,E,CinsE
Achmi,70,12,C,5,65,ins,E,CinsE
Sornu,72,12,IF,1,0.6,ins,E,IFinsE
Sornu,72,12,IF,2,0.8,ins,E,IFinsE
Sornu,72,12,IF,3,2.2,ins,E,IFinsE
Sornu,72,12,IF,4,0,ins,E,IFinsE
Agafo,73,10,IF,1,1,ins,E,IFinsE
Agafo,73,10,IF,3,1.2,ins,E,IFinsE
Agafo,73,10,IF,4,1.8,ins,E,IFinsE
Agafo,73,10,IF,5,3.4,ins,E,IFinsE
Agafo,74,10,I,1,5.6,ins,E,IinsE
Agafo,74,10,I,3,0.2,ins,E,IinsE
Agafo,74,10,I,4,15.8,ins,E,IinsE
Agafo,74,10,I,6,3.6,ins,E,IinsE
Bougr,75,11,I,1,0,ins,E,IinsE
Bougr,75,11,I,2,0,ins,E,IinsE
Bougr,75,11,I,3,0,ins,E,IinsE
Bougr,75,11,I,4,0.2,ins,E,IinsE
Bougr,75,11,I,5,0,ins,E,IinsE
Bougr,75,11,I,6,0,ins,E,IinsE
Bougr,76,12,IF,1,0,ins,E,IFinsE
Bougr,76,12,IF,2,0,ins,E,IFinsE
Bougr,76,12,IF,3,0.8,ins,E,IFinsE
Bougr,76,12,IF,4,0,ins,E,IFinsE
Bougr,76,12,IF,5,0,ins,E,IFinsE
Bougr,76,12,IF,6,0,ins,E,IFinsE
Rudhi,77,11,IF,2,4.4,ins,E,IFinsE
Rudhi,77,11,IF,3,1.2,ins,E,IFinsE
Rudhi,77,11,IF,4,0.4,ins,E,IFinsE
Rudhi,77,11,IF,5,0.4,ins,E,IFinsE
Rudhi,77,11,IF,6,0.8,ins,E,IFinsE
Achmi,78,10,IF,2,71.25,ins,E,IFinsE
Achmi,78,10,IF,3,6.666666667,ins,E,IFinsE
Achmi,78,10,IF,4,10.66666667,ins,E,IFinsE
Sornu,79,10,I,1,5,ins,E,IinsE
Sornu,79,10,I,2,0,ins,E,IinsE
Sornu,79,10,I,3,0,ins,E,IinsE
Sornu,79,10,I,4,1.666666667,ins,E,IinsE
Muhra,80,10,C,2,2,ins,E,CinsE
Muhra,80,10,C,3,0.6,ins,E,CinsE
Muhra,80,10,C,4,22,ins,E,CinsE
Muhra,80,10,C,5,0,ins,E,CinsE
Muhra,81,7,IF,1,0,ins,E,IFinsE
Muhra,81,7,IF,2,0.2,ins,E,IFinsE
Muhra,81,7,IF,3,0,ins,E,IFinsE
Muhra,81,7,IF,4,0.2,ins,E,IFinsE
Muhra,81,7,IF,5,0.4,ins,E,IFinsE
Muhra,81,7,IF,6,1.2,ins,E,IFinsE
Agafo,83,13,C,2,1,ins,E,CinsE
Agafo,83,13,C,3,28.4,ins,E,CinsE
Agafo,83,13,C,4,20,ins,E,CinsE
Bougr,84,11,C,1,0,ins,E,CinsE
Bougr,84,11,C,2,0,ins,E,CinsE
Bougr,84,11,C,3,0,ins,E,CinsE
Bougr,84,11,C,4,7,ins,E,CinsE
Bougr,84,11,C,5,0,ins,E,CinsE
Bougr,84,11,C,6,0,ins,E,CinsE
Ascsy,85,12,I,1,0.5,ins,E,IinsE
Ascsy,85,12,I,2,0,ins,E,IinsE
Ascsy,85,12,I,3,0.2,ins,E,IinsE
Ascsy,85,12,I,4,0.2,ins,E,IinsE
Astaz,86,11,IF,1,8.6,ins,E,IFinsE
Astaz,86,11,IF,2,3.75,ins,E,IFinsE
Astaz,86,11,IF,4,9.2,ins,E,IFinsE
Astaz,86,11,IF,5,3.8,ins,E,IFinsE
Astaz,86,11,IF,6,22.2,ins,E,IFinsE
Andge,87,11,I,1,0.5,ins,E,IinsE
Andge,87,11,I,2,0.6,ins,E,IinsE
Andge,87,11,I,3,0,ins,E,IinsE
Andge,87,11,I,4,0,ins,E,IinsE
Andge,87,11,I,5,0,ins,E,IinsE
Andge,87,11,I,6,2,ins,E,IinsE
Astaz,88,10,I,1,9.6,ins,E,IinsE
Astaz,88,10,I,2,2,ins,E,IinsE
Astaz,88,10,I,3,2.2,ins,E,IinsE
Ascsy,89,10,C,4,0,ins,E,CinsE
Muhra,90,9,C,2,0,ins,E,CinsE
Muhra,90,9,C,3,0,ins,E,CinsE
Muhra,90,9,C,4,0.4,ins,E,CinsE
Muhra,90,9,C,5,0,ins,E,CinsE
Muhra,90,9,C,6,0,ins,E,CinsE
Spohe,91,9,C,1,0,ins,E,CinsE
Spohe,92,8,C,2,32.5,ins,E,CinsE
Spohe,92,8,C,3,1.75,ins,E,CinsE
Schsc,93,7,C,1,0,ins,E,CinsE
Schsc,93,7,C,2,0.75,ins,E,CinsE
Schsc,93,7,C,3,4.4,ins,E,CinsE
Schsc,93,7,C,4,1.4,ins,E,CinsE
Schsc,93,7,C,5,1.2,ins,E,CinsE
Schsc,93,7,C,6,1.2,ins,E,CinsE
Boucu,94,8,IF,3,0,ins,E,IFinsE
Boucu,94,8,IF,4,0,ins,E,IFinsE
Boucu,94,8,IF,5,0,ins,E,IFinsE
Panvi,95,11,I,1,0.2,ins,E,IinsE
Panvi,95,11,I,2,2.5,ins,E,IinsE
Panvi,95,11,I,3,0.2,ins,E,IinsE
Panvi,95,11,I,4,0.8,ins,E,IinsE
Panvi,95,11,I,5,4.4,ins,E,IinsE
Panvi,95,11,I,6,13.33333333,ins,E,IinsE
Asctu,96,8,C,1,100,ins,E,CinsE
Asctu,96,8,C,3,9.4,ins,E,CinsE
Asctu,96,8,C,5,1.6,ins,E,CinsE
Asctu,96,8,C,6,2.8,ins,E,CinsE
Achmi,97,7,C,5,7,ins,E,CinsE
Rudhi,98,7,IF,2,1.6,ins,E,IFinsE
Rudhi,98,7,IF,3,4,ins,E,IFinsE
Rudhi,98,7,IF,4,1.8,ins,E,IFinsE
Rudhi,98,7,IF,5,3.8,ins,E,IFinsE
Bougr,99,7,C,1,7.4,ins,E,CinsE
Bougr,99,7,C,3,0.2,ins,E,CinsE
Bougr,99,7,C,4,36.4,ins,E,CinsE
Bougr,99,7,C,5,9.8,ins,E,CinsE
Bougr,99,7,C,6,4.4,ins,E,CinsE
Panvi,100,11,I,1,0,ins,E,IinsE
Panvi,100,11,I,2,0,ins,E,IinsE
Panvi,100,11,I,3,0.4,ins,E,IinsE
Panvi,100,11,I,4,0,ins,E,IinsE
Panvi,100,11,I,5,0,ins,E,IinsE
Panvi,100,11,I,6,1,ins,E,IinsE
Achmi,101,13,I,1,5.2,ins,E,IinsE
Achmi,101,13,I,3,5.8,ins,E,IinsE
Achmi,101,13,I,4,13.4,ins,E,IinsE
Achmi,101,13,I,5,23.8,ins,E,IinsE
Achmi,101,13,I,6,28.66666667,ins,E,IinsE
Achmi,102,7,IF,1,8.4,ins,E,IFinsE
Achmi,102,7,IF,2,2.333333333,ins,E,IFinsE
Achmi,102,7,IF,5,50.75,ins,E,IFinsE
Achmi,102,7,IF,6,0.6,ins,E,IFinsE
Agafo,103,10,C,2,24.4,ins,E,CinsE
Agafo,103,10,C,3,10.6,ins,E,CinsE
Agafo,103,10,C,4,8,ins,E,CinsE
Rudhi,104,8,C,4,78,ins,E,CinsE
Rudhi,104,8,C,5,12.75,ins,E,CinsE
Rudhi,104,8,C,6,2.25,ins,E,CinsE
Liaas,105,7,I,2,0.333333333,ins,E,IinsE
Bougr,106,9,C,4,11,ins,E,CinsE
Bougr,106,9,C,6,12,ins,E,CinsE
Rudhi,107,9,C,2,1.666666667,ins,E,CinsE
Rudhi,107,9,C,3,24.25,ins,E,CinsE
Rudhi,107,9,C,6,6.25,ins,E,CinsE
Asctu,109,10,I,1,0.2,ins,E,IinsE
Asctu,109,10,I,3,0.4,ins,E,IinsE
Asctu,109,10,I,4,2.2,ins,E,IinsE
Asctu,109,10,I,5,0,ins,E,IinsE
Asctu,109,10,I,6,0.8,ins,E,IinsE
Spohe,110,8,IF,1,3.5,ins,E,IFinsE
Panvi,111,8,C,1,0.666666667,ins,E,CinsE
Panvi,111,8,C,2,19,ins,E,CinsE
Panvi,111,8,C,4,0.75,ins,E,CinsE
Panvi,111,8,C,5,1.5,ins,E,CinsE
Panvi,111,8,C,6,10.75,ins,E,CinsE
Panvi,112,9,IF,1,0.2,ins,E,IFinsE
Panvi,112,9,IF,2,27.5,ins,E,IFinsE
Panvi,112,9,IF,3,0.333333333,ins,E,IFinsE
Panvi,112,9,IF,4,1.4,ins,E,IFinsE
Panvi,112,9,IF,5,0.2,ins,E,IFinsE
Panvi,112,9,IF,6,0,ins,E,IFinsE
Boucu,113,5,C,1,28.2,ins,E,CinsE
Boucu,113,5,C,3,0.8,ins,E,CinsE
Boucu,113,5,C,5,0.8,ins,E,CinsE
Agafo,114,5,I,2,0.6,ins,E,IinsE
Agafo,114,5,I,3,0.8,ins,E,IinsE
Agafo,114,5,I,4,1,ins,E,IinsE
Agafo,115,7,IF,4,0.4,ins,E,IFinsE
Agafo,115,7,IF,6,2,ins,E,IFinsE
Rudhi,116,7,I,1,7.6,ins,E,IinsE
Rudhi,116,7,I,2,0.666666667,ins,E,IinsE
Rudhi,116,7,I,3,1.6,ins,E,IinsE
Rudhi,116,7,I,4,7.5,ins,E,IinsE
Rudhi,116,7,I,5,1,ins,E,IinsE
Bougr,117,9,IF,1,0,ins,E,IFinsE
Bougr,117,9,IF,2,0,ins,E,IFinsE
Bougr,117,9,IF,3,0,ins,E,IFinsE
Bougr,117,9,IF,4,0.4,ins,E,IFinsE
Bougr,117,9,IF,6,0,ins,E,IFinsE
Sornu,118,5,I,1,0,ins,E,IinsE
Sornu,118,5,I,2,0,ins,E,IinsE
Sornu,118,5,I,3,20,ins,E,IinsE
Sornu,118,5,I,4,0,ins,E,IinsE
Spohe,119,11,I,2,0,ins,E,IinsE
Achmi,120,14,I,1,10.6,ins,E,IinsE
Achmi,120,14,I,3,13,ins,E,IinsE
Achmi,120,14,I,4,11.8,ins,E,IinsE
Achmi,120,14,I,5,46.5,ins,E,IinsE
Muhra,122,7,I,1,0,ins,E,IinsE
Muhra,122,7,I,2,0,ins,E,IinsE
Muhra,122,7,I,3,0.2,ins,E,IinsE
Muhra,122,7,I,4,0,ins,E,IinsE
Muhra,122,7,I,5,0,ins,E,IinsE
Muhra,122,7,I,6,0.2,ins,E,IinsE
Schsc,123,5,C,1,8.6,ins,E,CinsE
Schsc,123,5,C,2,6.4,ins,E,CinsE
Schsc,123,5,C,3,7.2,ins,E,CinsE
Schsc,123,5,C,4,3,ins,E,CinsE
Schsc,123,5,C,5,3.4,ins,E,CinsE
Schsc,123,5,C,6,0,ins,E,CinsE
Rudhi,124,5,C,1,19.25,ins,E,CinsE
Rudhi,124,5,C,3,27.66666667,ins,E,CinsE
Rudhi,124,5,C,6,3.75,ins,E,CinsE
Astaz,125,6,C,3,18.6,ins,E,CinsE
Astaz,125,6,C,4,19,ins,E,CinsE
Schsc,127,7,I,1,0.5,ins,E,IinsE
Schsc,127,7,I,2,0,ins,E,IinsE
Schsc,127,7,I,3,0,ins,E,IinsE
Schsc,127,7,I,4,0.6,ins,E,IinsE
Schsc,127,7,I,5,0.4,ins,E,IinsE
Schsc,127,7,I,6,0.2,ins,E,IinsE
Agafo,128,9,IF,1,8.75,ins,E,IFinsE
Agafo,128,9,IF,3,8.8,ins,E,IFinsE
Agafo,128,9,IF,4,15.33333333,ins,E,IFinsE
Agafo,128,9,IF,6,13.75,ins,E,IFinsE
Boucu,129,5,IF,4,1.5,ins,E,IFinsE
Boucu,129,5,IF,5,0.2,ins,E,IFinsE
Andge,130,6,IF,1,0.2,ins,E,IFinsE
Andge,130,6,IF,2,0,ins,E,IFinsE
Andge,130,6,IF,3,1,ins,E,IFinsE
Andge,130,6,IF,4,0,ins,E,IFinsE
Andge,130,6,IF,5,0.5,ins,E,IFinsE
Andge,130,6,IF,6,0,ins,E,IFinsE
Sornu,132,6,IF,1,0,ins,E,IFinsE
Sornu,132,6,IF,2,1,ins,E,IFinsE
Sornu,132,6,IF,3,0,ins,E,IFinsE
Sornu,132,6,IF,4,2,ins,E,IFinsE
Ascsy,133,7,IF,2,0.2,ins,E,IFinsE
Boucu,135,6,C,2,4,ins,E,CinsE
Boucu,135,6,C,3,11.25,ins,E,CinsE
Boucu,135,6,C,4,1,ins,E,CinsE
Boucu,135,6,C,5,7.6,ins,E,CinsE
Achmi,136,8,I,1,1.6,ins,E,IinsE
Achmi,136,8,I,2,1.25,ins,E,IinsE
Achmi,136,8,I,3,6.2,ins,E,IinsE
Achmi,136,8,I,5,8,ins,E,IinsE
Achmi,136,8,I,6,2,ins,E,IinsE
Agafo,137,9,C,1,14,ins,E,CinsE
Agafo,137,9,C,3,7.8,ins,E,CinsE
Agafo,137,9,C,4,7.2,ins,E,CinsE
Boucu,139,6,I,1,0,ins,E,IinsE
Boucu,139,6,I,2,0,ins,E,IinsE
Boucu,139,6,I,3,0.6,ins,E,IinsE
Boucu,139,6,I,4,0.2,ins,E,IinsE
Rudhi,140,6,IF,1,1.2,ins,E,IFinsE
Rudhi,140,6,IF,3,5,ins,E,IFinsE
Rudhi,140,6,IF,4,19.5,ins,E,IFinsE
Rudhi,140,6,IF,5,1,ins,E,IFinsE
